,Pokemon,Type1,Type2,Cluster
148,Delcatty,Normal,,12
149,Delibird,Ice,Flying,8
150,Delphox,Fire,Psychic,16
151,Deoxys,Psychic,,16
152,Deoxys-Attack,Psychic,,16
153,Deoxys-Defense,Psychic,,16
154,Deoxys-Speed,Psychic,,16
155,Dewgong,Water,Ice,20
156,Dewott,Water,,8
157,Dialga,Steel,Dragon,15
158,Diancie,Rock,Fairy,16
159,Diggersby,Normal,Ground,6
160,Diglett,Ground,,19
161,Ditto,Normal,,2
162,Dodrio,Normal,Flying,0
163,Doduo,Normal,Flying,0
164,Donphan,Ground,,6
165,Doublade,Steel,Ghost,14
166,Dragalge,Poison,Dragon,5
167,Dragonair,Dragon,,15
168,Dragonite,Dragon,Flying,15
169,Drapion,Poison,Dark,19
170,Dratini,Dragon,,15
171,Drifblim,Ghost,Flying,17
172,Drifloon,Ghost,Flying,17
173,Drilbur,Ground,,6
174,Drowzee,Psychic,,16
175,Druddigon,Dragon,,15
176,Ducklett,Water,Flying,0
177,Dugtrio,Ground,,19
178,Dunsparce,Normal,,6
179,Duosion,Psychic,,16
180,Durant,Bug,Steel,6
181,Dusclops,Ghost,,17
182,Dusknoir,Ghost,,17
183,Duskull,Ghost,,17
184,Dustox,Bug,Poison,13
185,Dwebble,Bug,Rock,6
186,Eelektrik,Electric,,10
187,Eelektross,Electric,,10
188,Eevee,Normal,,12
189,Ekans,Poison,,3
190,Electabuzz,Electric,,10
191,Electivire,Electric,,10
192,Electrike,Electric,,10
193,Electrode,Electric,,10
194,Elekid,Electric,,10
195,Elgyem,Psychic,,16
196,Emboar,Fire,Fighting,11
197,Emolga,Electric,Flying,10
198,Empoleon,Water,Steel,7
199,Entei,Fire,,11
200,Escavalier,Bug,Steel,13
201,Espeon,Psychic,,12
202,Espurr,Psychic,,16
203,Excadrill,Ground,Steel,6
204,Exeggcute,Grass,Psychic,4
205,Exeggutor,Grass,Psychic,4
206,Exploud,Normal,,11
207,Farfetch'd,Normal,Flying,0
208,Fearow,Normal,Flying,0
209,Feebas,Water,,7
210,Fennekin,Fire,,11
211,Feraligatr,Water,,8
212,Ferroseed,Grass,Steel,14
213,Ferrothorn,Grass,Steel,14
214,Finneon,Water,,7
215,Flaaffy,Electric,,10
216,Flabebe,Fairy,,12
217,Flareon,Fire,,11
218,Fletchinder,Fire,Flying,0
219,Fletchling,Normal,Flying,0
220,Floatzel,Water,,8
221,Floette,Fairy,,12
222,Floette-Eternal,Fairy,,12
223,Florges,Fairy,,12
224,Flygon,Ground,Dragon,15
225,Foongus,Grass,Poison,4
226,Forretress,Bug,Steel,14
227,Fraxure,Dragon,,15
228,Frillish,Water,Ghost,7
229,Froakie,Water,,7
230,Frogadier,Water,,7
231,Froslass,Ice,Ghost,17
232,Furfrou,Normal,,10
233,Furret,Normal,,19
234,Gabite,Dragon,Ground,15
235,Gallade,Psychic,Fighting,16
236,Galvantula,Bug,Electric,13
237,Garbodor,Poison,,3
238,Gardevoir,Psychic,Fairy,16
239,Gastly,Ghost,Poison,17
240,Gastrodon,Water,Ground,3
241,Genesect,Bug,Steel,10
242,Gengar,Ghost,Poison,17
243,Geodude,Rock,Ground,6
244,Gible,Dragon,Ground,15
245,Gigalith,Rock,,6
246,Girafarig,Normal,Psychic,16
247,Giratina,Ghost,Dragon,15
248,Giratina-Origin,Ghost,Dragon,15
249,Glaceon,Ice,,12
250,Glalie,Ice,,20
251,Glameow,Normal,,19
252,Gligar,Ground,Flying,19
253,Gliscor,Ground,Flying,19
254,Gloom,Grass,Poison,4
255,Gogoat,Grass,,4
256,Golbat,Poison,Flying,0
257,Goldeen,Water,,7
258,Golduck,Water,,8
259,Golem,Rock,Ground,6
260,Golett,Ground,Ghost,6
261,Golurk,Ground,Ghost,6
262,Goodra,Dragon,,15
263,Goomy,Dragon,,5
264,Gorebyss,Water,,7
265,Gothita,Psychic,,16
266,Gothitelle,Psychic,,16
267,Gothorita,Psychic,,16
268,Gourgeist,Ghost,Grass,17
269,Gourgeist-Large,Ghost,Grass,2
270,Gourgeist-Small,Ghost,Grass,2
271,Gourgeist-Super,Ghost,Grass,2
272,Granbull,Fairy,,19
273,Graveler,Rock,Ground,6
274,Greninja,Water,Dark,7
275,Grimer,Poison,,3
276,Grotle,Grass,,4
277,Grovyle,Grass,,4
278,Growlithe,Fire,,11
279,Grumpig,Psychic,,16
280,Gulpin,Poison,,3
281,Gurdurr,Fighting,,1
282,Gyarados,Water,Flying,15
283,Happiny,Normal,,12
284,Hariyama,Fighting,,1
285,Haunter,Ghost,Poison,17
286,Hawlucha,Fighting,Flying,1
287,Haxorus,Dragon,,15
288,Heatmor,Fire,,3
289,Heliolisk,Electric,Normal,10
290,Helioptile,Electric,Normal,10
291,Heracross,Bug,Fighting,6
292,Herdier,Normal,,10
293,Hippopotas,Ground,,3
294,Hippowdon,Ground,,3
295,Hitmonchan,Fighting,,1
296,Hitmonlee,Fighting,,1
297,Hitmontop,Fighting,,1
298,Honchkrow,Dark,Flying,0
299,Honedge,Steel,Ghost,14
300,Ho-Oh,Fire,Flying,0
301,Hoopa,Psychic,Ghost,16
302,Hoopa-Unbound,Psychic,Dark,16
303,Hoothoot,Normal,Flying,0
304,Hoppip,Grass,Flying,4
305,Horsea,Water,,5
306,Houndoom,Dark,Fire,19
307,Houndour,Dark,Fire,19
308,Huntail,Water,,7
309,Hydreigon,Dark,Dragon,15
310,Hypno,Psychic,,16
311,Igglybuff,Normal,Fairy,12
312,Illumise,Bug,,13
313,Inkay,Dark,Psychic,17
314,Ivysaur,Grass,Poison,4
315,Jellicent,Water,Ghost,7
316,Jigglypuff,Normal,Fairy,12
317,Jirachi,Steel,Psychic,16
318,Jolteon,Electric,,12
319,Joltik,Bug,Electric,13
320,Jumpluff,Grass,Flying,4
321,Jynx,Ice,Psychic,12
322,Kabuto,Rock,Water,7
323,Kabutops,Rock,Water,6
324,Kadabra,Psychic,,16
325,Kakuna,Bug,Poison,9
326,Kangaskhan,Normal,,19
327,Karrablast,Bug,,13
328,Kecleon,Normal,,19
329,Keldeo,Water,Fighting,6
330,Kingdra,Water,Dragon,5
331,Kingler,Water,,7
332,Kirlia,Psychic,Fairy,16
333,Klang,Steel,,10
334,Klefki,Steel,Fairy,16
335,Klink,Steel,,10
336,Klinklang,Steel,,10
337,Koffing,Poison,,3
338,Krabby,Water,,7
339,Kricketot,Bug,,9
340,Kricketune,Bug,,13
341,Krokorok,Ground,Dark,19
342,Krookodile,Ground,Dark,19
343,Kyogre,Water,,20
344,Kyurem,Dragon,Ice,15
345,Kyurem-Black,Dragon,Ice,15
346,Kyurem-White,Dragon,Ice,15
347,Lairon,Steel,Rock,14
348,Lampent,Ghost,Fire,17
349,Landorus,Ground,Flying,6
350,Landorus-Therian,Ground,Flying,6
351,Lanturn,Water,Electric,7
352,Lapras,Water,Ice,20
353,Larvesta,Bug,Fire,11
354,Larvitar,Rock,Ground,15
355,Latias,Dragon,Psychic,16
356,Latios,Dragon,Psychic,16
357,Leafeon,Grass,,12
358,Leavanny,Bug,Grass,13
359,Ledian,Bug,Flying,13
360,Ledyba,Bug,Flying,13
361,Lickilicky,Normal,,6
362,Lickitung,Normal,,6
363,Liepard,Dark,,19
364,Lileep,Rock,Grass,3
365,Lilligant,Grass,,4
366,Lillipup,Normal,,10
367,Linoone,Normal,,19
368,Litleo,Fire,Normal,11
369,Litwick,Ghost,Fire,17
370,Lombre,Water,Grass,8
371,Lopunny,Normal,,12
372,Lotad,Water,Grass,4
373,Loudred,Normal,,11
374,Lucario,Fighting,Steel,1
375,Ludicolo,Water,Grass,8
376,Lugia,Psychic,Flying,15
377,Lumineon,Water,,7
378,Lunatone,Rock,Psychic,16
379,Luvdisc,Water,,7
380,Luxio,Electric,,10
381,Luxray,Electric,,10
382,Machamp,Fighting,,1
383,Machoke,Fighting,,1
384,Machop,Fighting,,1
385,Magby,Fire,,11
386,Magcargo,Fire,Rock,3
387,Magikarp,Water,,2
388,Magmar,Fire,,11
389,Magmortar,Fire,,11
390,Magnemite,Electric,Steel,10
391,Magneton,Electric,Steel,10
392,Magnezone,Electric,Steel,10
393,Makuhita,Fighting,,1
394,Malamar,Dark,Psychic,17
395,Mamoswine,Ice,Ground,20
396,Manaphy,Water,,7
397,Mandibuzz,Dark,Flying,0
398,Manectric,Electric,,10
399,Mankey,Fighting,,19
400,Mantine,Water,Flying,7
401,Mantyke,Water,Flying,7
402,Maractus,Grass,,4
403,Mareep,Electric,,10
404,Marill,Water,Fairy,8
405,Marowak,Ground,,6
406,Marshtomp,Water,Ground,8
407,Masquerain,Bug,Flying,13
408,Mawile,Steel,Fairy,19
409,Medicham,Fighting,Psychic,1
410,Meditite,Fighting,Psychic,1
411,Meganium,Grass,,4
412,Meloetta,Normal,Psychic,16
413,Meowstic-F,Psychic,,16
414,Meowstic-M,Psychic,,16
415,Meowth,Normal,,19
416,Metagross,Steel,Psychic,14
417,Metang,Steel,Psychic,14
418,Metapod,Bug,,9
419,Mew,Psychic,,16
420,Mewtwo,Psychic,,16
421,Mienfoo,Fighting,,1
422,Mienshao,Fighting,,1
423,Mightyena,Dark,,19
424,Milotic,Water,,7
425,Miltank,Normal,,6
426,Mime Jr.,Psychic,Fairy,16
427,Minccino,Normal,,12
428,Minun,Electric,,12
429,Misdreavus,Ghost,,17
430,Mismagius,Ghost,,17
431,Moltres,Fire,Flying,0
432,Monferno,Fire,Fighting,11
433,Mothim,Bug,Flying,13
434,Mr. Mime,Psychic,Fairy,16
435,Mudkip,Water,,8
436,Muk,Poison,,3
437,Munchlax,Normal,,3
438,Munna,Psychic,,16
439,Murkrow,Dark,Flying,0
440,Musharna,Psychic,,16
441,Natu,Psychic,Flying,16
442,Nidoking,Poison,Ground,19
443,Nidoqueen,Poison,Ground,19
444,Nidoran-F,Poison,,19
445,Nidoran-M,Poison,,19
446,Nidorina,Poison,,19
447,Nidorino,Poison,,19
448,Nincada,Bug,Ground,13
449,Ninetales,Fire,,11
450,Ninjask,Bug,Flying,13
451,Noctowl,Normal,Flying,0
452,Noibat,Flying,Dragon,0
453,Noivern,Flying,Dragon,0
454,Nosepass,Rock,,6
455,Numel,Fire,Ground,3
456,Nuzleaf,Grass,Dark,4
457,Octillery,Water,,5
458,Oddish,Grass,Poison,4
459,Omanyte,Rock,Water,5
460,Omastar,Rock,Water,5
461,Onix,Rock,Ground,6
462,Oshawott,Water,,8
463,Pachirisu,Electric,,10
464,Palkia,Water,Dragon,15
465,Palpitoad,Water,Ground,7
466,Pancham,Fighting,,19
467,Pangoro,Fighting,Dark,19
468,Panpour,Water,,8
469,Pansage,Grass,,4
470,Pansear,Fire,,11
471,Paras,Bug,Grass,4
472,Parasect,Bug,Grass,4
473,Patrat,Normal,,19
474,Pawniard,Dark,Steel,19
475,Pelipper,Water,Flying,0
476,Persian,Normal,,19
477,Petilil,Grass,,4
478,Phanpy,Ground,,6
479,Phantump,Ghost,Grass,17
480,Phione,Water,,7
481,Pichu,Electric,,12
482,Pidgeot,Normal,Flying,0
483,Pidgeotto,Normal,Flying,0
484,Pidgey,Normal,Flying,0
485,Pidove,Normal,Flying,0
486,Pignite,Fire,Fighting,11
487,Pikachu,Electric,,12
488,Piloswine,Ice,Ground,20
489,Pineco,Bug,,14
490,Pinsir,Bug,,6
491,Piplup,Water,,7
492,Plusle,Electric,,12
493,Politoed,Water,,8
494,Poliwag,Water,,8
495,Poliwhirl,Water,,8
496,Poliwrath,Water,Fighting,8
497,Ponyta,Fire,,11
498,Poochyena,Dark,,19
499,Porygon,Normal,,16
500,Porygon2,Normal,,16
501,Porygon-Z,Normal,,16
502,Primeape,Fighting,,19
503,Prinplup,Water,,7
504,Probopass,Rock,Steel,6
505,Psyduck,Water,,8
506,Pumpkaboo,Ghost,Grass,17
507,Pumpkaboo-Large,Ghost,Grass,2
508,Pumpkaboo-Small,Ghost,Grass,2
509,Pumpkaboo-Super,Ghost,Grass,2
510,Pupitar,Rock,Ground,15
511,Purrloin,Dark,,19
512,Purugly,Normal,,19
513,Pyroar,Fire,Normal,11
514,Quagsire,Water,Ground,3
515,Quilava,Fire,,11
516,Quilladin,Grass,,6
517,Qwilfish,Water,Poison,5
518,Raichu,Electric,,12
519,Raikou,Electric,,10
520,Ralts,Psychic,Fairy,16
521,Rampardos,Rock,,15
522,Rapidash,Fire,,11
523,Raticate,Normal,,19
524,Rattata,Normal,,19
525,Regice,Ice,,6
526,Regigigas,Normal,,6
527,Regirock,Rock,,6
528,Registeel,Steel,,6
529,Relicanth,Water,Rock,5
530,Remoraid,Water,,5
531,Reshiram,Dragon,Fire,15
532,Reuniclus,Psychic,,16
533,Rhydon,Ground,Rock,15
534,Rhyhorn,Ground,Rock,15
535,Rhyperior,Ground,Rock,15
536,Riolu,Fighting,,1
537,Roggenrola,Rock,,6
538,Roselia,Grass,Poison,4
539,Roserade,Grass,Poison,4
540,Rotom,Electric,Ghost,17
541,Rotom-Fan,Electric,Flying,17
542,Rotom-Frost,Electric,Ice,17
543,Rotom-Heat,Electric,Fire,17
544,Rotom-Mow,Electric,Grass,17
545,Rotom-Wash,Electric,Water,17
546,Rufflet,Normal,Flying,0
547,Sableye,Dark,Ghost,19
548,Salamence,Dragon,Flying,15
549,Samurott,Water,,8
550,Sandile,Ground,Dark,19
551,Sandshrew,Ground,,6
552,Sandslash,Ground,,6
553,Sawk,Fighting,,1
554,Sawsbuck,Normal,Grass,4
555,Scatterbug,Bug,,9
556,Sceptile,Grass,,4
557,Scizor,Bug,Steel,13
558,Scolipede,Bug,Poison,14
559,Scrafty,Dark,Fighting,19
560,Scraggy,Dark,Fighting,19
561,Scyther,Bug,Flying,13
562,Seadra,Water,,5
563,Seaking,Water,,7
564,Sealeo,Ice,Water,20
565,Seedot,Grass,,4
566,Seel,Water,,20
567,Seismitoad,Water,Ground,7
568,Sentret,Normal,,19
569,Serperior,Grass,,4
570,Servine,Grass,,4
571,Seviper,Poison,,3
572,Sewaddle,Bug,Grass,13
573,Sharpedo,Water,Dark,19
574,Shaymin,Grass,,4
575,Shaymin-Sky,Grass,Flying,4
576,Shedinja,Bug,Ghost,13
577,Shelgon,Dragon,,15
578,Shellder,Water,,7
579,Shellos,Water,,3
580,Shelmet,Bug,,13
581,Shieldon,Rock,Steel,6
582,Shiftry,Grass,Dark,4
583,Shinx,Electric,,10
584,Shroomish,Grass,,4
585,Shuckle,Bug,Rock,6
586,Shuppet,Ghost,,17
587,Sigilyph,Psychic,Flying,16
588,Silcoon,Bug,,9
589,Simipour,Water,,8
590,Simisage,Grass,,4
591,Simisear,Fire,,11
592,Skarmory,Steel,Flying,0
593,Skiddo,Grass,,4
594,Skiploom,Grass,Flying,4
595,Skitty,Normal,,12
596,Skorupi,Poison,Bug,19
597,Skrelp,Poison,Water,5
598,Skuntank,Poison,Dark,19
599,Slaking,Normal,,19
600,Slakoth,Normal,,19
601,Sliggoo,Dragon,,5
602,Slowbro,Water,Psychic,16
603,Slowking,Water,Psychic,16
604,Slowpoke,Water,Psychic,16
605,Slugma,Fire,,3
606,Slurpuff,Fairy,,12
607,Smeargle,Normal,,2
608,Smoochum,Ice,Psychic,12
609,Sneasel,Dark,Ice,19
610,Snivy,Grass,,4
611,Snorlax,Normal,,3
612,Snorunt,Ice,,20
613,Snover,Grass,Ice,4
614,Snubbull,Fairy,,19
615,Solosis,Psychic,,16
616,Solrock,Rock,Psychic,16
617,Spearow,Normal,Flying,0
618,Spewpa,Bug,,9
619,Spheal,Ice,Water,20
620,Spinarak,Bug,Poison,13
621,Spinda,Normal,,12
622,Spiritomb,Ghost,Dark,17
623,Spoink,Psychic,,16
624,Spritzee,Fairy,,12
625,Squirtle,Water,,8
626,Stantler,Normal,,16
627,Staraptor,Normal,Flying,0
628,Staravia,Normal,Flying,0
629,Starly,Normal,Flying,0
630,Starmie,Water,Psychic,16
631,Staryu,Water,,7
632,Steelix,Steel,Ground,6
633,Steelix-Mega,Steel,Ground,6
634,Stoutland,Normal,,10
635,Stunfisk,Ground,Electric,5
636,Stunky,Poison,Dark,19
637,Sudowoodo,Rock,,6
638,Suicune,Water,,20
639,Sunflora,Grass,,4
640,Sunkern,Grass,,4
641,Surskit,Bug,Water,7
642,Swablu,Normal,Flying,0
643,Swadloon,Bug,Grass,13
644,Swalot,Poison,,3
645,Swampert,Water,Ground,8
646,Swanna,Water,Flying,0
647,Swellow,Normal,Flying,0
648,Swinub,Ice,Ground,20
649,Swirlix,Fairy,,12
650,Swoobat,Psychic,Flying,16
651,Sylveon,Fairy,,12
652,Taillow,Normal,Flying,0
653,Talonflame,Fire,Flying,0
654,Tangela,Grass,,4
655,Tangrowth,Grass,,4
656,Tauros,Normal,,15
657,Teddiursa,Normal,,19
658,Tentacool,Water,Poison,7
659,Tentacruel,Water,Poison,7
660,Tepig,Fire,,11
661,Terrakion,Rock,Fighting,6
662,Throh,Fighting,,1
663,Thundurus,Electric,Flying,19
664,Thundurus-Therian,Electric,Flying,19
665,Timburr,Fighting,,1
666,Tirtouga,Water,Rock,6
667,Togekiss,Fairy,Flying,12
668,Togepi,Fairy,,12
669,Togetic,Fairy,Flying,12
670,Torchic,Fire,,11
671,Torkoal,Fire,,11
672,Tornadus,Flying,,19
673,Tornadus-Therian,Flying,,19
674,Torterra,Grass,Ground,4
675,Totodile,Water,,8
676,Toxicroak,Poison,Fighting,19
677,Tranquill,Normal,Flying,0
678,Trapinch,Ground,,13
679,Treecko,Grass,,4
680,Trevenant,Ghost,Grass,17
681,Tropius,Grass,Flying,4
682,Trubbish,Poison,,3
683,Turtwig,Grass,,4
684,Tympole,Water,,7
685,Tynamo,Electric,,2
686,Typhlosion,Fire,,11
687,Tyranitar,Rock,Dark,15
688,Tyrantrum,Rock,Dragon,15
689,Tyrogue,Fighting,,1
690,Tyrunt,Rock,Dragon,15
691,Umbreon,Dark,,12
692,Unfezant,Normal,Flying,0
693,Unown,Psychic,,7
694,Ursaring,Normal,,19
695,Uxie,Psychic,,16
696,Vanillish,Ice,,20
697,Vanillite,Ice,,20
698,Vanilluxe,Ice,,20
699,Vaporeon,Water,,12
700,Venipede,Bug,Poison,14
701,Venomoth,Bug,Poison,13
702,Venonat,Bug,Poison,13
703,Venusaur,Grass,Poison,4
704,Vespiquen,Bug,Flying,13
705,Vibrava,Ground,Dragon,13
706,Victini,Psychic,Fire,11
707,Victreebel,Grass,Poison,4
708,Vigoroth,Normal,,19
709,Vileplume,Grass,Poison,4
710,Virizion,Grass,Fighting,4
711,Vivillon,Bug,Flying,13
712,Volbeat,Bug,,13
713,Volcanion,Fire,Water,11
714,Volcarona,Bug,Fire,13
715,Voltorb,Electric,,10
716,Vullaby,Dark,Flying,0
717,Vulpix,Fire,,11
718,Wailmer,Water,,20
719,Wailord,Water,,20
720,Walrein,Ice,Water,20
721,Wartortle,Water,,8
722,Watchog,Normal,,19
723,Weavile,Dark,Ice,19
724,Weedle,Bug,Poison,9
725,Weepinbell,Grass,Poison,4
726,Weezing,Poison,,3
727,Whimsicott,Grass,Fairy,4
728,Whirlipede,Bug,Poison,14
729,Whiscash,Water,Ground,5
730,Whismur,Normal,,11
731,Wigglytuff,Normal,Fairy,12
732,Wingull,Water,Flying,0
733,Wobbuffet,Psychic,,2
734,Woobat,Psychic,Flying,16
735,Wooper,Water,Ground,3
736,Wormadam,Bug,Grass,13
737,Wormadam-Sandy,Bug,Ground,13
738,Wormadam-Trash,Bug,Steel,13
739,Wurmple,Bug,,9
740,Wynaut,Psychic,,2
741,Xatu,Psychic,Flying,16
742,Yamask,Ghost,,17
743,Yanma,Bug,Flying,13
744,Yanmega,Bug,Flying,13
745,Yveltal,Dark,Flying,0
746,Zangoose,Normal,,19
747,Zapdos,Electric,Flying,0
748,Zebstrika,Electric,,10
749,Zekrom,Dragon,Electric,15
750,Zigzagoon,Normal,,12
751,Zoroark,Dark,,19
752,Zorua,Dark,,19
753,Zubat,Poison,Flying,0
754,Zweilous,Dark,Dragon,15
755,Zygarde,Dragon,Ground,15
