,Pokemon,Type1,Type2,Cluster
148,Delcatty,Normal,None,9
149,Delibird,Ice,Flying,15
150,Delphox,Fire,Psychic,13
151,Deoxys,Psychic,None,13
152,Deoxys-Attack,Psychic,None,13
153,Deoxys-Defense,Psychic,None,13
154,Deoxys-Speed,Psychic,None,13
155,Dewgong,Water,Ice,8
156,Dewott,Water,None,8
157,Dialga,Steel,Dragon,5
158,Diancie,Rock,Fairy,13
159,Diggersby,Normal,Ground,0
160,Diglett,Ground,None,1
161,Ditto,Normal,None,14
162,Dodrio,Normal,Flying,7
163,Doduo,Normal,Flying,7
164,Donphan,Ground,None,5
165,Doublade,Steel,Ghost,1
166,Dragalge,Poison,Dragon,8
167,Dragonair,Dragon,None,5
168,Dragonite,Dragon,Flying,5
169,Drapion,Poison,Dark,1
170,Dratini,Dragon,None,5
171,Drifblim,Ghost,Flying,17
172,Drifloon,Ghost,Flying,17
173,Drilbur,Ground,None,1
174,Drowzee,Psychic,None,13
175,Druddigon,Dragon,None,5
176,Ducklett,Water,Flying,7
177,Dugtrio,Ground,None,1
178,Dunsparce,Normal,None,5
179,Duosion,Psychic,None,13
180,Durant,Bug,Steel,1
181,Dusclops,Ghost,None,17
182,Dusknoir,Ghost,None,17
183,Duskull,Ghost,None,17
184,Dustox,Bug,Poison,16
185,Dwebble,Bug,Rock,1
186,Eelektrik,Electric,None,6
187,Eelektross,Electric,None,6
188,Eevee,Normal,None,9
189,Ekans,Poison,None,2
190,Electabuzz,Electric,None,6
191,Electivire,Electric,None,6
192,Electrike,Electric,None,6
193,Electrode,Electric,None,6
194,Elekid,Electric,None,6
195,Elgyem,Psychic,None,13
196,Emboar,Fire,Fighting,12
197,Emolga,Electric,Flying,6
198,Empoleon,Water,Steel,8
199,Entei,Fire,None,12
200,Escavalier,Bug,Steel,1
201,Espeon,Psychic,None,9
202,Espurr,Psychic,None,13
203,Excadrill,Ground,Steel,1
204,Exeggcute,Grass,Psychic,3
205,Exeggutor,Grass,Psychic,3
206,Exploud,Normal,None,5
207,Farfetch'd,Normal,Flying,7
208,Fearow,Normal,Flying,7
209,Feebas,Water,None,8
210,Fennekin,Fire,None,12
211,Feraligatr,Water,None,5
212,Ferroseed,Grass,Steel,1
213,Ferrothorn,Grass,Steel,1
214,Finneon,Water,None,8
215,Flaaffy,Electric,None,6
216,Flabebe,Fairy,None,3
217,Flareon,Fire,None,9
218,Fletchinder,Fire,Flying,7
219,Fletchling,Normal,Flying,7
220,Floatzel,Water,None,8
221,Floette,Fairy,None,3
222,Floette-Eternal,Fairy,None,3
223,Florges,Fairy,None,3
224,Flygon,Ground,Dragon,5
225,Foongus,Grass,Poison,3
226,Forretress,Bug,Steel,1
227,Fraxure,Dragon,None,5
228,Frillish,Water,Ghost,8
229,Froakie,Water,None,8
230,Frogadier,Water,None,8
231,Froslass,Ice,Ghost,17
232,Furfrou,Normal,None,9
233,Furret,Normal,None,9
234,Gabite,Dragon,Ground,5
235,Gallade,Psychic,Fighting,13
236,Galvantula,Bug,Electric,1
237,Garbodor,Poison,None,2
238,Gardevoir,Psychic,Fairy,13
239,Gastly,Ghost,Poison,17
240,Gastrodon,Water,Ground,2
241,Genesect,Bug,Steel,1
242,Gengar,Ghost,Poison,17
243,Geodude,Rock,Ground,5
244,Gible,Dragon,Ground,5
245,Gigalith,Rock,None,1
246,Girafarig,Normal,Psychic,13
247,Giratina,Ghost,Dragon,5
248,Giratina-Origin,Ghost,Dragon,5
249,Glaceon,Ice,None,9
250,Glalie,Ice,None,15
251,Glameow,Normal,None,11
252,Gligar,Ground,Flying,1
253,Gliscor,Ground,Flying,1
254,Gloom,Grass,Poison,3
255,Gogoat,Grass,None,3
256,Golbat,Poison,Flying,7
257,Goldeen,Water,None,8
258,Golduck,Water,None,8
259,Golem,Rock,Ground,5
260,Golett,Ground,Ghost,5
261,Golurk,Ground,Ghost,5
262,Goodra,Dragon,None,5
263,Goomy,Dragon,None,1
264,Gorebyss,Water,None,8
265,Gothita,Psychic,None,13
266,Gothitelle,Psychic,None,13
267,Gothorita,Psychic,None,13
268,Gourgeist,Ghost,Grass,17
269,Gourgeist-Large,Ghost,Grass,14
270,Gourgeist-Small,Ghost,Grass,14
271,Gourgeist-Super,Ghost,Grass,14
272,Granbull,Fairy,None,5
273,Graveler,Rock,Ground,5
274,Greninja,Water,Dark,8
275,Grimer,Poison,None,2
276,Grotle,Grass,None,3
277,Grovyle,Grass,None,3
278,Growlithe,Fire,None,12
279,Grumpig,Psychic,None,13
280,Gulpin,Poison,None,2
281,Gurdurr,Fighting,None,0
282,Gyarados,Water,Flying,5
283,Happiny,Normal,None,13
284,Hariyama,Fighting,None,0
285,Haunter,Ghost,Poison,17
286,Hawlucha,Fighting,Flying,0
287,Haxorus,Dragon,None,5
288,Heatmor,Fire,None,2
289,Heliolisk,Electric,Normal,6
290,Helioptile,Electric,Normal,6
291,Heracross,Bug,Fighting,1
292,Herdier,Normal,None,9
293,Hippopotas,Ground,None,2
294,Hippowdon,Ground,None,2
295,Hitmonchan,Fighting,None,0
296,Hitmonlee,Fighting,None,0
297,Hitmontop,Fighting,None,0
298,Honchkrow,Dark,Flying,7
299,Honedge,Steel,Ghost,1
300,Ho-Oh,Fire,Flying,7
301,Hoopa,Psychic,Ghost,13
302,Hoopa-Unbound,Psychic,Dark,13
303,Hoothoot,Normal,Flying,7
304,Hoppip,Grass,Flying,3
305,Horsea,Water,None,8
306,Houndoom,Dark,Fire,11
307,Houndour,Dark,Fire,11
308,Huntail,Water,None,8
309,Hydreigon,Dark,Dragon,5
310,Hypno,Psychic,None,13
311,Igglybuff,Normal,Fairy,13
312,Illumise,Bug,None,16
313,Inkay,Dark,Psychic,11
314,Ivysaur,Grass,Poison,3
315,Jellicent,Water,Ghost,8
316,Jigglypuff,Normal,Fairy,13
317,Jirachi,Steel,Psychic,13
318,Jolteon,Electric,None,9
319,Joltik,Bug,Electric,1
320,Jumpluff,Grass,Flying,3
321,Jynx,Ice,Psychic,13
322,Kabuto,Rock,Water,15
323,Kabutops,Rock,Water,15
324,Kadabra,Psychic,None,13
325,Kakuna,Bug,Poison,10
326,Kangaskhan,Normal,None,5
327,Karrablast,Bug,None,1
328,Kecleon,Normal,None,0
329,Keldeo,Water,Fighting,15
330,Kingdra,Water,Dragon,8
331,Kingler,Water,None,15
332,Kirlia,Psychic,Fairy,13
333,Klang,Steel,None,6
334,Klefki,Steel,Fairy,13
335,Klink,Steel,None,6
336,Klinklang,Steel,None,6
337,Koffing,Poison,None,2
338,Krabby,Water,None,15
339,Kricketot,Bug,None,10
340,Kricketune,Bug,None,16
341,Krokorok,Ground,Dark,11
342,Krookodile,Ground,Dark,11
343,Kyogre,Water,None,15
344,Kyurem,Dragon,Ice,5
345,Kyurem-Black,Dragon,Ice,5
346,Kyurem-White,Dragon,Ice,5
347,Lairon,Steel,Rock,5
348,Lampent,Ghost,Fire,17
349,Landorus,Ground,Flying,1
350,Landorus-Therian,Ground,Flying,1
351,Lanturn,Water,Electric,8
352,Lapras,Water,Ice,15
353,Larvesta,Bug,Fire,12
354,Larvitar,Rock,Ground,5
355,Latias,Dragon,Psychic,13
356,Latios,Dragon,Psychic,13
357,Leafeon,Grass,None,9
358,Leavanny,Bug,Grass,3
359,Ledian,Bug,Flying,16
360,Ledyba,Bug,Flying,16
361,Lickilicky,Normal,None,5
362,Lickitung,Normal,None,5
363,Liepard,Dark,None,11
364,Lileep,Rock,Grass,2
365,Lilligant,Grass,None,3
366,Lillipup,Normal,None,9
367,Linoone,Normal,None,9
368,Litleo,Fire,Normal,12
369,Litwick,Ghost,Fire,17
370,Lombre,Water,Grass,8
371,Lopunny,Normal,None,9
372,Lotad,Water,Grass,3
373,Loudred,Normal,None,5
374,Lucario,Fighting,Steel,0
375,Ludicolo,Water,Grass,8
376,Lugia,Psychic,Flying,13
377,Lumineon,Water,None,8
378,Lunatone,Rock,Psychic,13
379,Luvdisc,Water,None,8
380,Luxio,Electric,None,6
381,Luxray,Electric,None,6
382,Machamp,Fighting,None,0
383,Machoke,Fighting,None,0
384,Machop,Fighting,None,0
385,Magby,Fire,None,12
386,Magcargo,Fire,Rock,2
387,Magikarp,Water,None,14
388,Magmar,Fire,None,12
389,Magmortar,Fire,None,12
390,Magnemite,Electric,Steel,6
391,Magneton,Electric,Steel,6
392,Magnezone,Electric,Steel,6
393,Makuhita,Fighting,None,0
394,Malamar,Dark,Psychic,11
395,Mamoswine,Ice,Ground,15
396,Manaphy,Water,None,8
397,Mandibuzz,Dark,Flying,7
398,Manectric,Electric,None,6
399,Mankey,Fighting,None,0
400,Mantine,Water,Flying,8
401,Mantyke,Water,Flying,8
402,Maractus,Grass,None,3
403,Mareep,Electric,None,6
404,Marill,Water,Fairy,8
405,Marowak,Ground,None,5
406,Marshtomp,Water,Ground,15
407,Masquerain,Bug,Flying,16
408,Mawile,Steel,Fairy,5
409,Medicham,Fighting,Psychic,0
410,Meditite,Fighting,Psychic,0
411,Meganium,Grass,None,3
412,Meloetta,Normal,Psychic,13
413,Meowstic-F,Psychic,None,13
414,Meowstic-M,Psychic,None,13
415,Meowth,Normal,None,11
416,Metagross,Steel,Psychic,5
417,Metang,Steel,Psychic,5
418,Metapod,Bug,None,10
419,Mew,Psychic,None,13
420,Mewtwo,Psychic,None,13
421,Mienfoo,Fighting,None,0
422,Mienshao,Fighting,None,0
423,Mightyena,Dark,None,11
424,Milotic,Water,None,8
425,Miltank,Normal,None,5
426,Mime Jr.,Psychic,Fairy,13
427,Minccino,Normal,None,9
428,Minun,Electric,None,6
429,Misdreavus,Ghost,None,17
430,Mismagius,Ghost,None,17
431,Moltres,Fire,Flying,7
432,Monferno,Fire,Fighting,0
433,Mothim,Bug,Flying,16
434,Mr. Mime,Psychic,Fairy,13
435,Mudkip,Water,None,15
436,Muk,Poison,None,2
437,Munchlax,Normal,None,2
438,Munna,Psychic,None,13
439,Murkrow,Dark,Flying,7
440,Musharna,Psychic,None,13
441,Natu,Psychic,Flying,13
442,Nidoking,Poison,Ground,5
443,Nidoqueen,Poison,Ground,5
444,Nidoran-F,Poison,None,9
445,Nidoran-M,Poison,None,9
446,Nidorina,Poison,None,9
447,Nidorino,Poison,None,9
448,Nincada,Bug,Ground,1
449,Ninetales,Fire,None,12
450,Ninjask,Bug,Flying,16
451,Noctowl,Normal,Flying,7
452,Noibat,Flying,Dragon,7
453,Noivern,Flying,Dragon,7
454,Nosepass,Rock,None,5
455,Numel,Fire,Ground,2
456,Nuzleaf,Grass,Dark,3
457,Octillery,Water,None,8
458,Oddish,Grass,Poison,3
459,Omanyte,Rock,Water,15
460,Omastar,Rock,Water,15
461,Onix,Rock,Ground,5
462,Oshawott,Water,None,8
463,Pachirisu,Electric,None,6
464,Palkia,Water,Dragon,5
465,Palpitoad,Water,Ground,8
466,Pancham,Fighting,None,0
467,Pangoro,Fighting,Dark,0
468,Panpour,Water,None,8
469,Pansage,Grass,None,3
470,Pansear,Fire,None,0
471,Paras,Bug,Grass,3
472,Parasect,Bug,Grass,3
473,Patrat,Normal,None,9
474,Pawniard,Dark,Steel,11
475,Pelipper,Water,Flying,7
476,Persian,Normal,None,11
477,Petilil,Grass,None,3
478,Phanpy,Ground,None,9
479,Phantump,Ghost,Grass,17
480,Phione,Water,None,8
481,Pichu,Electric,None,6
482,Pidgeot,Normal,Flying,7
483,Pidgeotto,Normal,Flying,7
484,Pidgey,Normal,Flying,7
485,Pidove,Normal,Flying,7
486,Pignite,Fire,Fighting,12
487,Pikachu,Electric,None,6
488,Piloswine,Ice,Ground,15
489,Pineco,Bug,None,1
490,Pinsir,Bug,None,1
491,Piplup,Water,None,8
492,Plusle,Electric,None,6
493,Politoed,Water,None,8
494,Poliwag,Water,None,8
495,Poliwhirl,Water,None,8
496,Poliwrath,Water,Fighting,8
497,Ponyta,Fire,None,12
498,Poochyena,Dark,None,11
499,Porygon,Normal,None,17
500,Porygon2,Normal,None,17
501,Porygon-Z,Normal,None,17
502,Primeape,Fighting,None,0
503,Prinplup,Water,None,8
504,Probopass,Rock,Steel,5
505,Psyduck,Water,None,8
506,Pumpkaboo,Ghost,Grass,17
507,Pumpkaboo-Large,Ghost,Grass,14
508,Pumpkaboo-Small,Ghost,Grass,14
509,Pumpkaboo-Super,Ghost,Grass,14
510,Pupitar,Rock,Ground,5
511,Purrloin,Dark,None,11
512,Purugly,Normal,None,11
513,Pyroar,Fire,Normal,12
514,Quagsire,Water,Ground,2
515,Quilava,Fire,None,12
516,Quilladin,Grass,None,0
517,Qwilfish,Water,Poison,8
518,Raichu,Electric,None,6
519,Raikou,Electric,None,6
520,Ralts,Psychic,Fairy,13
521,Rampardos,Rock,None,5
522,Rapidash,Fire,None,12
523,Raticate,Normal,None,9
524,Rattata,Normal,None,9
525,Regice,Ice,None,5
526,Regigigas,Normal,None,5
527,Regirock,Rock,None,5
528,Registeel,Steel,None,5
529,Relicanth,Water,Rock,15
530,Remoraid,Water,None,8
531,Reshiram,Dragon,Fire,5
532,Reuniclus,Psychic,None,13
533,Rhydon,Ground,Rock,5
534,Rhyhorn,Ground,Rock,5
535,Rhyperior,Ground,Rock,5
536,Riolu,Fighting,None,0
537,Roggenrola,Rock,None,1
538,Roselia,Grass,Poison,3
539,Roserade,Grass,Poison,3
540,Rotom,Electric,Ghost,17
541,Rotom-Fan,Electric,Flying,17
542,Rotom-Frost,Electric,Ice,17
543,Rotom-Heat,Electric,Fire,17
544,Rotom-Mow,Electric,Grass,17
545,Rotom-Wash,Electric,Water,17
546,Rufflet,Normal,Flying,7
547,Sableye,Dark,Ghost,11
548,Salamence,Dragon,Flying,5
549,Samurott,Water,None,8
550,Sandile,Ground,Dark,11
551,Sandshrew,Ground,None,1
552,Sandslash,Ground,None,1
553,Sawk,Fighting,None,0
554,Sawsbuck,Normal,Grass,3
555,Scatterbug,Bug,None,10
556,Sceptile,Grass,None,3
557,Scizor,Bug,Steel,16
558,Scolipede,Bug,Poison,1
559,Scrafty,Dark,Fighting,0
560,Scraggy,Dark,Fighting,0
561,Scyther,Bug,Flying,16
562,Seadra,Water,None,8
563,Seaking,Water,None,8
564,Sealeo,Ice,Water,15
565,Seedot,Grass,None,3
566,Seel,Water,None,8
567,Seismitoad,Water,Ground,8
568,Sentret,Normal,None,9
569,Serperior,Grass,None,3
570,Servine,Grass,None,3
571,Seviper,Poison,None,2
572,Sewaddle,Bug,Grass,3
573,Sharpedo,Water,Dark,15
574,Shaymin,Grass,None,3
575,Shaymin-Sky,Grass,Flying,3
576,Shedinja,Bug,Ghost,16
577,Shelgon,Dragon,None,5
578,Shellder,Water,None,15
579,Shellos,Water,None,2
580,Shelmet,Bug,None,1
581,Shieldon,Rock,Steel,5
582,Shiftry,Grass,Dark,3
583,Shinx,Electric,None,6
584,Shroomish,Grass,None,3
585,Shuckle,Bug,Rock,1
586,Shuppet,Ghost,None,17
587,Sigilyph,Psychic,Flying,13
588,Silcoon,Bug,None,10
589,Simipour,Water,None,8
590,Simisage,Grass,None,0
591,Simisear,Fire,None,0
592,Skarmory,Steel,Flying,7
593,Skiddo,Grass,None,3
594,Skiploom,Grass,Flying,3
595,Skitty,Normal,None,9
596,Skorupi,Poison,Bug,1
597,Skrelp,Poison,Water,8
598,Skuntank,Poison,Dark,11
599,Slaking,Normal,None,0
600,Slakoth,Normal,None,0
601,Sliggoo,Dragon,None,1
602,Slowbro,Water,Psychic,13
603,Slowking,Water,Psychic,13
604,Slowpoke,Water,Psychic,13
605,Slugma,Fire,None,2
606,Slurpuff,Fairy,None,13
607,Smeargle,Normal,None,14
608,Smoochum,Ice,Psychic,13
609,Sneasel,Dark,Ice,11
610,Snivy,Grass,None,3
611,Snorlax,Normal,None,2
612,Snorunt,Ice,None,15
613,Snover,Grass,Ice,3
614,Snubbull,Fairy,None,5
615,Solosis,Psychic,None,13
616,Solrock,Rock,Psychic,13
617,Spearow,Normal,Flying,7
618,Spewpa,Bug,None,10
619,Spheal,Ice,Water,15
620,Spinarak,Bug,Poison,16
621,Spinda,Normal,None,13
622,Spiritomb,Ghost,Dark,17
623,Spoink,Psychic,None,13
624,Spritzee,Fairy,None,13
625,Squirtle,Water,None,15
626,Stantler,Normal,None,13
627,Staraptor,Normal,Flying,7
628,Staravia,Normal,Flying,7
629,Starly,Normal,Flying,7
630,Starmie,Water,Psychic,13
631,Staryu,Water,None,8
632,Steelix,Steel,Ground,5
633,Steelix-Mega,Steel,Ground,5
634,Stoutland,Normal,None,9
635,Stunfisk,Ground,Electric,15
636,Stunky,Poison,Dark,11
637,Sudowoodo,Rock,None,5
638,Suicune,Water,None,15
639,Sunflora,Grass,None,3
640,Sunkern,Grass,None,3
641,Surskit,Bug,Water,8
642,Swablu,Normal,Flying,7
643,Swadloon,Bug,Grass,3
644,Swalot,Poison,None,2
645,Swampert,Water,Ground,15
646,Swanna,Water,Flying,7
647,Swellow,Normal,Flying,7
648,Swinub,Ice,Ground,15
649,Swirlix,Fairy,None,13
650,Swoobat,Psychic,Flying,13
651,Sylveon,Fairy,None,9
652,Taillow,Normal,Flying,7
653,Talonflame,Fire,Flying,7
654,Tangela,Grass,None,3
655,Tangrowth,Grass,None,3
656,Tauros,Normal,None,5
657,Teddiursa,Normal,None,0
658,Tentacool,Water,Poison,8
659,Tentacruel,Water,Poison,8
660,Tepig,Fire,None,12
661,Terrakion,Rock,Fighting,1
662,Throh,Fighting,None,0
663,Thundurus,Electric,Flying,6
664,Thundurus-Therian,Electric,Flying,6
665,Timburr,Fighting,None,0
666,Tirtouga,Water,Rock,15
667,Togekiss,Fairy,Flying,13
668,Togepi,Fairy,None,13
669,Togetic,Fairy,Flying,13
670,Torchic,Fire,None,0
671,Torkoal,Fire,None,12
672,Tornadus,Flying,None,7
673,Tornadus-Therian,Flying,None,7
674,Torterra,Grass,Ground,3
675,Totodile,Water,None,5
676,Toxicroak,Poison,Fighting,11
677,Tranquill,Normal,Flying,7
678,Trapinch,Ground,None,1
679,Treecko,Grass,None,3
680,Trevenant,Ghost,Grass,17
681,Tropius,Grass,Flying,3
682,Trubbish,Poison,None,2
683,Turtwig,Grass,None,3
684,Tympole,Water,None,8
685,Tynamo,Electric,None,14
686,Typhlosion,Fire,None,12
687,Tyranitar,Rock,Dark,5
688,Tyrantrum,Rock,Dragon,5
689,Tyrogue,Fighting,None,0
690,Tyrunt,Rock,Dragon,5
691,Umbreon,Dark,None,9
692,Unfezant,Normal,Flying,7
693,Unown,Psychic,None,1
694,Ursaring,Normal,None,0
695,Uxie,Psychic,None,13
696,Vanillish,Ice,None,15
697,Vanillite,Ice,None,15
698,Vanilluxe,Ice,None,15
699,Vaporeon,Water,None,9
700,Venipede,Bug,Poison,1
701,Venomoth,Bug,Poison,16
702,Venonat,Bug,Poison,16
703,Venusaur,Grass,Poison,3
704,Vespiquen,Bug,Flying,16
705,Vibrava,Ground,Dragon,16
706,Victini,Psychic,Fire,12
707,Victreebel,Grass,Poison,3
708,Vigoroth,Normal,None,0
709,Vileplume,Grass,Poison,3
710,Virizion,Grass,Fighting,3
711,Vivillon,Bug,Flying,16
712,Volbeat,Bug,None,16
713,Volcanion,Fire,Water,12
714,Volcarona,Bug,Fire,12
715,Voltorb,Electric,None,6
716,Vullaby,Dark,Flying,7
717,Vulpix,Fire,None,12
718,Wailmer,Water,None,15
719,Wailord,Water,None,15
720,Walrein,Ice,Water,15
721,Wartortle,Water,None,15
722,Watchog,Normal,None,9
723,Weavile,Dark,Ice,11
724,Weedle,Bug,Poison,10
725,Weepinbell,Grass,Poison,3
726,Weezing,Poison,None,2
727,Whimsicott,Grass,Fairy,3
728,Whirlipede,Bug,Poison,1
729,Whiscash,Water,Ground,8
730,Whismur,Normal,None,5
731,Wigglytuff,Normal,Fairy,13
732,Wingull,Water,Flying,7
733,Wobbuffet,Psychic,None,14
734,Woobat,Psychic,Flying,13
735,Wooper,Water,Ground,2
736,Wormadam,Bug,Grass,3
737,Wormadam-Sandy,Bug,Ground,1
738,Wormadam-Trash,Bug,Steel,1
739,Wurmple,Bug,None,10
740,Wynaut,Psychic,None,14
741,Xatu,Psychic,Flying,13
742,Yamask,Ghost,None,17
743,Yanma,Bug,Flying,16
744,Yanmega,Bug,Flying,16
745,Yveltal,Dark,Flying,7
746,Zangoose,Normal,None,0
747,Zapdos,Electric,Flying,7
748,Zebstrika,Electric,None,6
749,Zekrom,Dragon,Electric,5
750,Zigzagoon,Normal,None,9
751,Zoroark,Dark,None,11
752,Zorua,Dark,None,11
753,Zubat,Poison,Flying,7
754,Zweilous,Dark,Dragon,5
755,Zygarde,Dragon,Ground,5
