,Pokemon,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,water,Type1,Type2,Cluster
15,Anorith,0.2335700253031044,0.10532883954233911,0.052664419771169556,0.07806268057828122,0.0,0.10505079763157724,0.07899662965675433,0.07878809822368293,0.10491206026402479,0.05252539881578862,0.20982412052804958,0.052664419771169556,0.7476593865117749,0.2087179788703555,0.0786840451980186,0.42131535816935645,0.1044969763637311,0.21037944777201117,Rock,Bug,8
16,Arbok,0.0592935366687182,0.28075457763260875,0.08021559360931678,0.059450424864922524,0.0,0.04000192220745907,0.10026949201164598,0.04000192220745907,0.05992363934290056,0.08000384441491815,0.11984727868580113,0.12032339041397516,0.6872034621491182,0.5960773651156256,0.05992363934290056,0.12032339041397516,0.05968655184432656,0.08010964689043493,Poison,None,5
17,Arcanine,0.04390371329141091,0.13363961567600313,0.11136634639666927,0.08803976132862879,0.04709686822094274,0.15550131375951123,0.42319211630734327,0.06664342018264767,0.06655540626091375,0.06664342018264767,0.11092567710152293,0.06681980783800157,0.8286784562741631,0.11034090394941282,0.08874054168121834,0.08909307711733543,0.08838944029151619,0.04448770262184449,Fire,None,20
18,Arceus,0.10990672653280537,0.16727392278371525,0.20444590562454087,0.128563790942797,0.0,0.11122157418452404,0.20444590562454087,0.12975850321527804,0.11107468726157542,0.14829543224603206,0.1480995830154339,0.18585991420412806,0.6732958544696254,0.1841485476069919,0.3517365096616556,0.2416178884653665,0.11063522096669565,0.2412987656944157,Normal,None,1
19,Arceus-Bug,0.10990672653280537,0.16727392278371525,0.20444590562454087,0.128563790942797,0.0,0.11122157418452404,0.20444590562454087,0.12975850321527804,0.11107468726157542,0.14829543224603206,0.1480995830154339,0.18585991420412806,0.6732958544696254,0.1841485476069919,0.3517365096616556,0.2416178884653665,0.11063522096669565,0.2412987656944157,Bug,None,1
20,Arceus-Dark,0.10990672653280537,0.16727392278371525,0.20444590562454087,0.128563790942797,0.0,0.11122157418452404,0.20444590562454087,0.12975850321527804,0.11107468726157542,0.14829543224603206,0.1480995830154339,0.18585991420412806,0.6732958544696254,0.1841485476069919,0.3517365096616556,0.2416178884653665,0.11063522096669565,0.2412987656944157,Dark,None,1
21,Arceus-Dragon,0.10990672653280537,0.16727392278371525,0.20444590562454087,0.128563790942797,0.0,0.11122157418452404,0.20444590562454087,0.12975850321527804,0.11107468726157542,0.14829543224603206,0.1480995830154339,0.18585991420412806,0.6732958544696254,0.1841485476069919,0.3517365096616556,0.2416178884653665,0.11063522096669565,0.2412987656944157,Dragon,None,1
22,Arceus-Electric,0.10990672653280537,0.16727392278371525,0.20444590562454087,0.128563790942797,0.0,0.11122157418452404,0.20444590562454087,0.12975850321527804,0.11107468726157542,0.14829543224603206,0.1480995830154339,0.18585991420412806,0.6732958544696254,0.1841485476069919,0.3517365096616556,0.2416178884653665,0.11063522096669565,0.2412987656944157,Electric,None,1
23,Arceus-Fairy,0.10990672653280537,0.16727392278371525,0.20444590562454087,0.128563790942797,0.0,0.11122157418452404,0.20444590562454087,0.12975850321527804,0.11107468726157542,0.14829543224603206,0.1480995830154339,0.18585991420412806,0.6732958544696254,0.1841485476069919,0.3517365096616556,0.2416178884653665,0.11063522096669565,0.2412987656944157,Fairy,None,1
24,Arceus-Fighting,0.10990672653280537,0.16727392278371525,0.20444590562454087,0.128563790942797,0.0,0.11122157418452404,0.20444590562454087,0.12975850321527804,0.11107468726157542,0.14829543224603206,0.1480995830154339,0.18585991420412806,0.6732958544696254,0.1841485476069919,0.3517365096616556,0.2416178884653665,0.11063522096669565,0.2412987656944157,Fighting,None,1
25,Arceus-Fire,0.10990672653280537,0.16727392278371525,0.20444590562454087,0.128563790942797,0.0,0.11122157418452404,0.20444590562454087,0.12975850321527804,0.11107468726157542,0.14829543224603206,0.1480995830154339,0.18585991420412806,0.6732958544696254,0.1841485476069919,0.3517365096616556,0.2416178884653665,0.11063522096669565,0.2412987656944157,Fire,None,1
26,Arceus-Flying,0.10990672653280537,0.16727392278371525,0.20444590562454087,0.128563790942797,0.0,0.11122157418452404,0.20444590562454087,0.12975850321527804,0.11107468726157542,0.14829543224603206,0.1480995830154339,0.18585991420412806,0.6732958544696254,0.1841485476069919,0.3517365096616556,0.2416178884653665,0.11063522096669565,0.2412987656944157,Flying,None,1
27,Arceus-Ghost,0.10990672653280537,0.16727392278371525,0.20444590562454087,0.128563790942797,0.0,0.11122157418452404,0.20444590562454087,0.12975850321527804,0.11107468726157542,0.14829543224603206,0.1480995830154339,0.18585991420412806,0.6732958544696254,0.1841485476069919,0.3517365096616556,0.2416178884653665,0.11063522096669565,0.2412987656944157,Ghost,None,1
28,Arceus-Grass,0.10990672653280537,0.16727392278371525,0.20444590562454087,0.128563790942797,0.0,0.11122157418452404,0.20444590562454087,0.12975850321527804,0.11107468726157542,0.14829543224603206,0.1480995830154339,0.18585991420412806,0.6732958544696254,0.1841485476069919,0.3517365096616556,0.2416178884653665,0.11063522096669565,0.2412987656944157,Grass,None,1
29,Arceus-Ground,0.10990672653280537,0.16727392278371525,0.20444590562454087,0.128563790942797,0.0,0.11122157418452404,0.20444590562454087,0.12975850321527804,0.11107468726157542,0.14829543224603206,0.1480995830154339,0.18585991420412806,0.6732958544696254,0.1841485476069919,0.3517365096616556,0.2416178884653665,0.11063522096669565,0.2412987656944157,Ground,None,1
30,Arceus-Ice,0.10990672653280537,0.16727392278371525,0.20444590562454087,0.128563790942797,0.0,0.11122157418452404,0.20444590562454087,0.12975850321527804,0.11107468726157542,0.14829543224603206,0.1480995830154339,0.18585991420412806,0.6732958544696254,0.1841485476069919,0.3517365096616556,0.2416178884653665,0.11063522096669565,0.2412987656944157,Ice,None,1
31,Arceus-Poison,0.10990672653280537,0.16727392278371525,0.20444590562454087,0.128563790942797,0.0,0.11122157418452404,0.20444590562454087,0.12975850321527804,0.11107468726157542,0.14829543224603206,0.1480995830154339,0.18585991420412806,0.6732958544696254,0.1841485476069919,0.3517365096616556,0.2416178884653665,0.11063522096669565,0.2412987656944157,Poison,None,1
32,Arceus-Psychic,0.10990672653280537,0.16727392278371525,0.20444590562454087,0.128563790942797,0.0,0.11122157418452404,0.20444590562454087,0.12975850321527804,0.11107468726157542,0.14829543224603206,0.1480995830154339,0.18585991420412806,0.6732958544696254,0.1841485476069919,0.3517365096616556,0.2416178884653665,0.11063522096669565,0.2412987656944157,Psychic,None,1
33,Arceus-Rock,0.10990672653280537,0.16727392278371525,0.20444590562454087,0.128563790942797,0.0,0.11122157418452404,0.20444590562454087,0.12975850321527804,0.11107468726157542,0.14829543224603206,0.1480995830154339,0.18585991420412806,0.6732958544696254,0.1841485476069919,0.3517365096616556,0.2416178884653665,0.11063522096669565,0.2412987656944157,Rock,None,1
34,Arceus-Steel,0.10990672653280537,0.16727392278371525,0.20444590562454087,0.128563790942797,0.0,0.11122157418452404,0.20444590562454087,0.12975850321527804,0.11107468726157542,0.14829543224603206,0.1480995830154339,0.18585991420412806,0.6732958544696254,0.1841485476069919,0.3517365096616556,0.2416178884653665,0.11063522096669565,0.2412987656944157,Steel,None,1
35,Arceus-Water,0.10990672653280537,0.16727392278371525,0.20444590562454087,0.128563790942797,0.0,0.11122157418452404,0.20444590562454087,0.12975850321527804,0.11107468726157542,0.14829543224603206,0.1480995830154339,0.18585991420412806,0.6732958544696254,0.1841485476069919,0.3517365096616556,0.2416178884653665,0.11063522096669565,0.2412987656944157,Water,None,1
36,Archen,0.08235495938383926,0.2506823294881132,0.2228287373227673,0.05504857808766543,0.0,0.11112026246897196,0.08356077649603774,0.3333607874069159,0.08323013200897487,0.05556013123448598,0.1942036413542747,0.08356077649603774,0.5999601116046431,0.13798560504156349,0.16646026401794975,0.5013646589762264,0.16580166504030505,0.08345041154455345,Rock,Flying,8
37,Archeops,0.07647394978930049,0.2327809766621142,0.2845100825870285,0.051117531089143006,0.0,0.1289813849130135,0.0775936588873714,0.3611478777564378,0.07728662589153319,0.0515925539652054,0.18033546041357745,0.0775936588873714,0.6077636230515496,0.12813198270686635,0.15457325178306638,0.4655619533242284,0.1539616836938522,0.07749117515328356,Rock,Flying,8
38,Ariados,0.4125440569705763,0.18603751369385113,0.04650937842346278,0.06893927185641813,0.0,0.046386605244707606,0.06976406763519417,0.06957990786706142,0.09265068775476802,0.09277321048941521,0.06948801581607601,0.06976406763519417,0.6602782958631642,0.529932971398282,0.16213870357084403,0.04650937842346278,0.04614205794847671,0.046447950017594476,Bug,Poison,5
39,Armaldo,0.20802676021608077,0.09381005640119269,0.046905028200596346,0.06952573008205595,0.0,0.1637342371172957,0.07035754230089453,0.07017181590741245,0.09343885618883492,0.04678121060494163,0.2335971404720873,0.046905028200596346,0.7577428196782252,0.18589253859481164,0.07007914214162618,0.39869273970506897,0.13960374892142313,0.21079384753747651,Rock,Bug,8
40,Aromatisse,0.04711911198740236,0.07171352426610018,0.07171352426610018,0.11810946792396365,0.5054612563700113,0.09536562455713782,0.07171352426610018,0.04768281227856891,0.0714297585755365,0.09536562455713782,0.0714297585755365,0.1195225404435003,0.7255377085558411,0.11842199714347913,0.33333887335250373,0.047809016177400125,0.09486286291903584,0.07161880686448807,Fairy,None,3
41,Aron,0.07479199166522786,0.07588707402675271,0.10118276536900361,0.09998651749255179,0.0,0.12614458507717013,0.07588707402675271,0.07568675104630208,0.1511735877495339,0.05045783403086805,0.20156478366604524,0.05059138268450181,0.7925287317653353,0.12531386451287843,0.07558679387476695,0.37943537013376355,0.250959117349137,0.12631140717768052,Steel,Rock,8
42,Articuno,0.113991061572726,0.057830042597858324,0.08674506389678749,0.05714633855596426,0.0,0.08651607852659048,0.08674506389678749,0.43258039263295234,0.0864018193942816,0.05767738568439365,0.0864018193942816,0.4626403407828666,0.6511331953804333,0.1432438834114338,0.1728036387885632,0.1445751064946458,0.11474662819261061,0.17326098643874507,Ice,Flying,18
43,Audino,0.05559804241253473,0.09402015434994157,0.05641209260996494,0.14865373996497128,0.2385669439361797,0.1125263574628312,0.1692362778298948,0.0562631787314156,0.05618887367630593,0.09377196455235932,0.11237774735261186,0.22564837043985975,0.7916585292145943,0.09315443269984246,0.3745924911753729,0.03760806173997663,0.05596656275437785,0.07511677993425159,Normal,None,3
44,Aurorus,0.050379848287252886,0.10223499043972631,0.12779373804965788,0.2020526049604098,0.0,0.07647383664019775,0.051117495219863154,0.05098255776013182,0.05091522665923398,0.05098255776013182,0.15274567997770194,0.40893996175890523,0.6256019044763199,0.1266170349635844,0.3054913599554039,0.40893996175890523,0.15214134266473148,0.17867493185625305,Rock,Ice,18
45,Avalugg,0.054995499456649,0.11160145479439805,0.055800727397199025,0.055141015227740814,0.0,0.11130685474117741,0.055800727397199025,0.055653427370588704,0.11115985519081235,0.055653427370588704,0.11115985519081235,0.41850545547899265,0.7648678035257326,0.13821730938606627,0.13894981898851547,0.2790036369859951,0.16608007789434198,0.16718108164070863,Ice,None,18
46,Axew,0.08313357663027401,0.22493545073965027,0.3655201074519317,0.08335354456631414,0.0,0.16825625786696471,0.11246772536982513,0.08412812893348236,0.056011348995324034,0.056085419288988234,0.08401702349298605,0.08435079402736885,0.7983335895253788,0.22286428322321195,0.08401702349298605,0.14058465671228143,0.08368461067300359,0.11231918085439,Dragon,None,2
47,Azelf,0.09895306391146097,0.20080381118435223,0.05020095279608806,0.19842977908672485,0.053075002792626357,0.10013686956029463,0.22590428758239625,0.07510265217022098,0.0750034664001629,0.1251710869503683,0.10000462186688387,0.12550238199022015,0.6389601838334422,0.12434677732248531,0.5750265757345823,0.12550238199022015,0.07470671566158646,0.1253366216313493,Psychic,None,7
48,Azumarill,0.03516082005999698,0.08918908613496787,0.03567563445398715,0.03525385410630624,0.0754361936501586,0.1779072983091891,0.05351345168098072,0.053372189492756746,0.03553446831899749,0.07116291932367565,0.08883617079749372,0.17837817226993574,0.8208391305603028,0.0883678481423965,0.10660340495699246,0.0713512689079743,0.05309081463108013,0.44535643727524593,Water,Fairy,4
49,Azurill,0.04689771056158876,0.09516874611395378,0.04758437305697689,0.047021799924940925,0.05030862149455512,0.04745876216005012,0.07137655958546532,0.07118814324007519,0.04739608482796099,0.04745876216005012,0.07109412724194149,0.19033749222790755,0.815306461938386,0.11786556053189208,0.09479216965592198,0.07137655958546532,0.07081284377892214,0.47521524825497224,Normal,Fairy,4
50,Bagon,0.0758929667471091,0.1283402821036999,0.4363569591525797,0.05072918422327159,0.0,0.10240119657132152,0.2566805642073998,0.07680089742849114,0.07669946883798902,0.05120059828566076,0.07669946883798902,0.07700416926221995,0.7790640480650219,0.12715854653258543,0.10226595845065203,0.1796763949451799,0.07639600787653612,0.10253661881474443,Dragon,None,2
51,Baltoy,0.06857600168603449,0.04638671423272416,0.04638671423272416,0.06875745089301193,0.04904239561832473,0.046264264856890606,0.06958007134908624,0.0693963972853359,0.06930474759114932,0.1156606621422265,0.2541174078342142,0.09277342846544832,0.5904123687445318,0.11489898307005418,0.646844310850727,0.301513642512707,0.06903054379735662,0.0694881717579057,Ground,Psychic,7
52,Banette,0.06744727778003493,0.3649857119966558,0.045623213999581975,0.15779339433942527,0.04823518430560737,0.06825417011139215,0.09124642799916395,0.04550278007426142,0.40898417352967953,0.06825417011139215,0.09088537189548435,0.09124642799916395,0.6923665197247224,0.15821093111479495,0.3408201446080663,0.045623213999581975,0.04526289224932905,0.06834443402576951,Ghost,None,10
53,Barbaracle,0.11542711087206059,0.2576577535550811,0.09369372856548404,0.0462930104548467,0.0,0.23361600112674155,0.07027029642411303,0.07008480033802247,0.06999224149103078,0.09344640045069662,0.20997672447309235,0.16396402498959706,0.6650694712259894,0.27849303776609197,0.06999224149103078,0.3513514821205651,0.06971531763198846,0.327494930938851,Rock,Water,8
54,Barboach,0.058361607938361176,0.05921612145004295,0.1184322429000859,0.11703206058093321,0.0,0.059059805633525676,0.08882418217506442,0.08858970845028852,0.058981807159011565,0.059059805633525676,0.32439993937456363,0.20725642507515032,0.6377509698401348,0.14667717359387508,0.14745451789752892,0.1480403036251074,0.05874844601349293,0.5618101478565162,Water,Ground,4
55,Basculin,0.05589471592030906,0.1417827748101286,0.056713109924051444,0.05604261098022234,0.0,0.1414085035868566,0.056713109924051444,0.08484510215211398,0.05648869988471359,0.05656340143474265,0.08473304982707039,0.17013932977215435,0.7496105937630674,0.14047726304392366,0.141221749711784,0.056713109924051444,0.056265202702295694,0.5380629445431382,Water,None,4
56,Bastiodon,0.04975935798768954,0.100975839767376,0.07573187982553199,0.14967305744816198,0.0,0.10070928869217477,0.17670771959290799,0.050354644346087385,0.10057628502236703,0.050354644346087385,0.2514407125559176,0.17670771959290799,0.7167603359252869,0.12505758918069076,0.1257203562779588,0.454391278953192,0.22540130007589548,0.07563185508194725,Rock,Steel,8
57,Bayleef,0.06623451194908624,0.04480286547169623,0.04480286547169623,0.04427317711534407,0.0,0.08936919412446452,0.06720429820754434,0.04468459706223226,0.04462558348493133,0.6032420603401355,0.08925116696986266,0.06720429820754434,0.7237827353391437,0.1775613131120462,0.15618954219725964,0.08960573094339246,0.06667353397083615,0.06711553647719394,Grass,None,0
58,Beartic,0.04941413969458584,0.17548176452027214,0.05013764700579205,0.04954488742324615,0.10601614537704518,0.2500264805068765,0.05013764700579205,0.07500794415206295,0.07490888345998067,0.10001059220275059,0.09987851127997424,0.4011011760463364,0.7608764293744179,0.12418997011922092,0.07490888345998067,0.2005505880231682,0.049741671292137676,0.22532141913715711,Ice,None,18
59,Beautifly,0.37088954825279796,0.08064000086110365,0.08064000086110365,0.0796866227889056,0.0,0.053618087558155114,0.08064000086110365,0.29489948156985313,0.10709455158771784,0.21447235023262046,0.05354727579385892,0.0537600005740691,0.7632129855930728,0.26632493799047485,0.1338681894846473,0.0537600005740691,0.0800031245057698,0.05368899573060126,Bug,Flying,15
60,Beedrill,0.3499231590358295,0.16568842784310214,0.047339550812314904,0.07016980819000836,0.0,0.09442917237031244,0.07100932621847235,0.23607293092578108,0.07072834699318596,0.09442917237031244,0.07072834699318596,0.07100932621847235,0.7415878392095786,0.42213290624856026,0.09430446265758129,0.07100932621847235,0.07044851073739827,0.047277025935838476,Bug,Poison,15
61,Beheeyem,0.0633372978033695,0.19279399171128384,0.04284310926917419,0.12700977124182872,0.0,0.04273001412812886,0.04284310926917419,0.06409502119219329,0.08534716381716215,0.06409502119219329,0.08534716381716215,0.06426466390376127,0.5872560522315181,0.10612154294633327,0.7254508924458782,0.12852932780752255,0.08500948830543283,0.06417978476774429,Psychic,None,7
62,Beldum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7977466476540708,0.0,0.2705224833031747,0.0,0.5389043256313456,0.0,Steel,Psychic,3
63,Bellossom,0.0650552800406674,0.06600780033208403,0.04400520022138936,0.04348494237781592,0.18609815109503844,0.06583355617436554,0.06600780033208403,0.04388903744957703,0.04383107454346451,0.5705574868445014,0.06574661181519675,0.04400520022138936,0.7108965877529627,0.30520005455918914,0.06574661181519675,0.04400520022138936,0.04365765717533945,0.04394707927049417,Grass,None,0
64,Bellsprout,0.09581906497213642,0.12152752445178168,0.04861100978071267,0.04803629908753992,0.0,0.0484826888184556,0.07291651467106901,0.0484826888184556,0.04841865921782252,0.4363441993661004,0.04841865921782252,0.04861100978071267,0.7615056139420853,0.40938896663573254,0.09683731843564504,0.04861100978071267,0.04822709110006231,0.04854680559352079,Grass,Poison,0
65,Bergmite,0.06222414126674564,0.09470281328440658,0.06313520885627105,0.062388783719062924,0.0,0.09445282143721133,0.06313520885627105,0.06296854762480754,0.1257707739891768,0.06296854762480754,0.0628853869945884,0.47351406642203286,0.710866332391691,0.156384676377519,0.157213467486471,0.31567604428135526,0.15659145340059039,0.18915546442739134,Ice,None,18
66,Bibarel,0.062240907215237534,0.1052537004780891,0.04210148019123564,0.14561305273560993,0.0,0.12597102829889772,0.08420296038247128,0.06298551414944886,0.12580466222412162,0.1049758569157481,0.12580466222412162,0.14735518066932474,0.8450252964082248,0.10428454223869948,0.08386977481608109,0.14735518066932474,0.06265345843841538,0.3363669890032749,Normal,Water,4
67,Bidoof,0.07045153108897448,0.0953107489364657,0.04765537446823285,0.16482186669110477,0.0,0.1188239403631472,0.0953107489364657,0.07129436421788832,0.14240041587393196,0.09505915229051776,0.09493361058262131,0.16679381063881496,0.8865106790619167,0.11804142963762179,0.09493361058262131,0.16679381063881496,0.07091850476635032,0.14277729737967707,Normal,None,13
68,Binacle,0.12429110526720909,0.2774440660264228,0.05044437564116778,0.04984798971497159,0.0,0.15093364514857627,0.07566656346175167,0.07546682257428813,0.07536715585554295,0.10062243009905085,0.20097908228144787,0.17655531474408723,0.6420584817178105,0.2998793542665774,0.07536715585554295,0.37833281730875834,0.07506896618194554,0.35264424993635335,Rock,Water,8
69,Bisharp,0.10078297975347293,0.5112930726207864,0.07669396089311796,0.1010496472654812,0.0,0.2549716931074846,0.051129307262078635,0.07649150793224538,0.10185398392395334,0.10198867724299383,0.10185398392395334,0.10225861452415727,0.650776324906728,0.202634069057464,0.1273174799049417,0.2812111899414325,0.17753924874574323,0.07659266545729218,Dark,Steel,16
70,Blastoise,0.05321620086180024,0.10799075367047649,0.1259892126155559,0.0533570086838855,0.0,0.21541136993840265,0.053995376835238244,0.03590189498973377,0.05378172068667074,0.05385284248460066,0.14341792183112198,0.21598150734095298,0.7401216293568597,0.08916366092422394,0.08963620114445124,0.17998458945079415,0.10713786730052378,0.4853165500150405,Water,None,4
71,Blaziken,0.053333164548904355,0.10822810614054952,0.05411405307027476,0.05347428185197055,0.0,0.3418176344781958,0.3968363891820149,0.17990401814641885,0.08983321221277399,0.07196160725856754,0.12576649709788357,0.09019008845045794,0.7594090146531234,0.14297541343708708,0.08983321221277399,0.1623421592108243,0.035791115071620666,0.05404258060326146,Fire,Fighting,20
72,Blissey,0.030467559770307476,0.06182731365285383,0.030913656826426914,0.1374667904156257,0.09805047500138825,0.16957628858246168,0.1391114557189211,0.046248078704307735,0.04618700028473879,0.09249615740861547,0.10776966733105717,0.1854819409585615,0.8777419668956358,0.07657252278126049,0.20014366790053476,0.1854819409585615,0.04600426171137737,0.07718206713393654,Normal,None,13
73,Blitzle,0.09865172629806361,0.1334615411760037,0.06673077058800185,0.4615928548156548,0.0,0.09983192695322811,0.10009615588200277,0.09983192695322811,0.06646672132544593,0.06655461796881873,0.13293344265089185,0.10009615588200277,0.7840177048575774,0.16529081239889784,0.1661668033136148,0.06673077058800185,0.06620374616455338,0.09996395142135843,Electric,None,12
74,Boldore,0.0614614181842527,0.06236131820655909,0.06236131820655909,0.061624042503475904,0.0,0.09329504978058187,0.06236131820655909,0.09329504978058187,0.1242291171583767,0.06219669985372124,0.31057279289594175,0.06236131820655909,0.6716243852663447,0.15446776438816756,0.1242291171583767,0.5612518638590318,0.18560640816770174,0.06227895296120155,Rock,None,8
75,Bonsly,0.05116147064935016,0.18168696653407004,0.051910561866877154,0.0512968417419902,0.0,0.1294338272716547,0.07786584280031573,0.05177353090866188,0.10341031038755635,0.05177353090866188,0.15511546558133452,0.051910561866877154,0.8386063718343175,0.12858144552285616,0.12926288798444546,0.38932921400157866,0.051500584075556764,0.051841999715085386,Rock,None,8
76,Bouffalant,0.07882442310736615,0.13329757857497546,0.07997854714498527,0.07903298920500433,0.0,0.15953484738846144,0.07997854714498527,0.07976742369423072,0.053108051535629176,0.05317828246282048,0.1593241546068875,0.05331903142999018,0.8613599600769242,0.2377263547042881,0.13277012883907294,0.2399356414349558,0.07934689480040842,0.10649721801473795,Normal,None,13
77,Braixen,0.05434364698859791,0.1654179920906462,0.055139330696882066,0.1089748759711268,0.0,0.10998755318576132,0.49625397627193857,0.05499377659288066,0.054921147998255225,0.164981329778642,0.054921147998255225,0.0827089960453231,0.6478302456187311,0.13657904270714086,0.4393691839860418,0.055139330696882066,0.08205577923738434,0.11013300813843505,Fire,None,20
78,Braviary,0.08699961096165587,0.08827343369725132,0.058848955798167554,0.058153205507609364,0.0,0.14673402301887836,0.11769791159633511,0.46954887366041076,0.08792414153614403,0.058693609207551345,0.05861609435742936,0.058848955798167554,0.7778413272923459,0.14576771146195766,0.11723218871485871,0.20597134529358643,0.11676836030457617,0.08815684438781844,Normal,Flying,6
